,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
87,22.0,4.2,Fog,Medium,2,Drinks,electric_scooter,2.0,No,Metropolitian,39,16.38573010428938
88,35.0,4.9,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Urban,28,9.313979921879167
89,30.0,4.5,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,20.850948424207758
90,23.0,4.8,Cloudy,Jam,1,Meal,motorcycle,2.0,No,Urban,36,10.587819003023833
91,34.0,4.7,Cloudy,Medium,2,Drinks,motorcycle,,No,Urban,18,4.5304623950908836
92,27.0,4.5,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,9.326725258397948
93,31.0,4.8,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,13,1.5323350129507805
94,27.0,5.0,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,16,20.182728669259316
95,31.0,4.1,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,36,4.537571349795331
96,21.0,4.5,Windy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,13.829770499629607
97,23.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,18,7.7626338661583745
98,24.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,46,11.914594077095886
99,20.0,4.7,Windy,Low,2,Snack,scooter,1.0,No,Urban,18,1.5204319453616324
100,33.0,3.9,Windy,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,37,19.363204222098958
101,31.0,3.8,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,39,4435.506157851396
102,33.0,3.9,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,42,19.663125922537017
103,30.0,4.9,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,23,2.9846382858295066
104,35.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,16.90375725450711
105,23.0,4.9,Windy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,19,6.058848944481087
106,20.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,20.848074005343257
107,23.0,4.9,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,14,4.658001278870051
108,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,,13,4.656811824475263
109,21.0,5.0,Fog,Medium,1,Buffet,scooter,0.0,No,Urban,12,4.469162258504094
110,32.0,4.1,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,34,3.1450674354101187
111,22.0,4.6,Cloudy,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,34,4.5877946316355445
112,28.0,4.6,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,27,20.206226468831648
113,39.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,13.773737657135722
114,22.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,7.546670729170753
115,26.0,4.5,Windy,Low,1,Meal,motorcycle,0.0,,Urban,10,19.915298664496373
116,24.0,4.9,Sandstorms,High,1,Buffet,scooter,1.0,No,Metropolitian,26,6.2088039598505285
117,35.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,29,4.538407907477421
118,28.0,4.9,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,26,16.600954249332354
119,24.0,4.6,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,28,13.583143866751415
120,22.0,4.6,Windy,Jam,2,Meal,scooter,,No,Metropolitian,29,13.583302501390298
121,29.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,1.5524796346121552
122,,,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,17,1.552216561024622
123,29.0,5.0,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,11.007734763545226
124,21.0,3.1,Sunny,Low,2,Drinks,electric_scooter,2.0,No,Metropolitian,33,11.916235156996139
125,35.0,5.0,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,3.105144914005584
126,39.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,36,5017.947745872179
127,31.0,4.8,Sandstorms,Low,2,Snack,scooter,,No,Metropolitian,18,13.583267699121574
128,37.0,4.9,Cloudy,Medium,2,Snack,scooter,0.0,No,Urban,15,7.772241951604515
129,39.0,3.5,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Urban,41,16.381598593351303
130,30.0,4.7,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,25,1.5581148485869056
131,38.0,4.9,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,28,19.627226055368325
132,22.0,4.5,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,25,10.906065218465613
133,37.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,12.29350881933073
134,28.0,4.7,Sunny,Medium,0,Buffet,motorcycle,,No,Metropolitian,16,4.4942791169134235
135,21.0,4.4,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,36,7.6483223546223025
136,34.0,4.6,Cloudy,High,0,Meal,motorcycle,1.0,No,Metropolitian,30,6.040512901895382
137,31.0,4.9,Stormy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,41,3.105492717339753
138,,,,,3,Snack,motorcycle,1.0,Yes,Metropolitian,49,10.881197531049606
139,26.0,4.8,Fog,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,32,20.18116177485454
140,38.0,4.2,Windy,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,41,16.85104548969167
141,32.0,4.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,29,13.631228534552555
142,39.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,20,3.05936345549117
143,22.0,4.7,Fog,Low,2,Snack,scooter,0.0,No,Metropolitian,18,3.0408635919883618
144,36.0,4.6,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20.506741591977754
145,27.0,4.1,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,31,13.73589774407278
146,36.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,3.0643606852156817
147,20.0,4.2,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,16,4.717601091654031
148,29.0,4.9,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,16,4.5379227489030045
149,20.0,4.5,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,12,20.831034086682603
150,34.0,5.0,Stormy,High,0,Snack,motorcycle,1.0,Yes,Urban,49,1.4897806661060058
151,26.0,4.6,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,27,10.703215446477477
152,25.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,19.615926964390486
153,,,,,3,Meal,scooter,1.0,No,Metropolitian,25,17178.64155209009
154,37.0,4.3,Fog,Jam,1,Drinks,scooter,2.0,No,Urban,34,9.26469640359357
155,23.0,5.0,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,25,7.762092915028554
156,21.0,4.2,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,12.256687342364243
157,20.0,4.5,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,27,13.830709083578835
158,24.0,4.2,Fog,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,32,19.364277132210358
159,34.0,4.8,Windy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,27,13.613850325897088
160,28.0,4.9,Fog,Jam,2,Meal,scooter,0.0,No,Metropolitian,31,4.587980157607705
161,21.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,14,9.34835641897669
162,23.0,4.2,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,32,12.162115706778211
163,33.0,5.0,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17,6.29013467758336
164,36.0,5.0,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Urban,29,1.5322015916679785
165,20.0,4.8,Stormy,Low,2,Snack,motorcycle,0.0,No,Urban,15,4.674295332963943
166,20.0,4.6,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,18,4.717601091654031
167,32.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Urban,44,10.565128845456787
168,24.0,4.9,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,41,12.239035527088863
169,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.429047569676257
170,29.0,4.7,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,20,20.442929762531403
171,22.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,19.761880409233967
172,33.0,5.0,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,19.364487993283845
173,26.0,4.7,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,22,3.0408931304028766
174,39.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,,27,17.078665498330796
175,21.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,18,7.448379823590384
176,37.0,4.5,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,27,1.5544249731931532
177,32.0,4.0,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,49,7.763485791256796
178,23.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,19,11.905076835797347
179,36.0,3.6,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,43,12.350452449344733
180,28.0,4.6,Cloudy,High,1,Meal,scooter,1.0,No,Metropolitian,20,6.242753026978606
181,22.0,4.1,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,34,12.293677673344574
182,,,Stormy,Low,2,Meal,scooter,0.0,No,Urban,13,17.09792543533538
183,30.0,4.5,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,33,20.831154126405863
184,34.0,4.7,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,21,7.631544915044052
185,37.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,18,1.5294841734467386
186,20.0,4.9,Stormy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,20,12.420728618674662
187,33.0,3.1,Sunny,Low,0,Meal,motorcycle,2.0,No,Metropolitian,32,17.077949437305268
188,23.0,4.8,Cloudy,Low,2,Meal,scooter,0.0,No,Metropolitian,29,10.594159659894759
189,,,Sunny,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,6.058923147477084
190,29.0,4.8,Windy,Low,1,Snack,scooter,0.0,No,Urban,15,4.656983637835054
191,37.0,4.6,Fog,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,37,16.824772113232584
192,26.0,4.5,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,11,3.1092107402763944
193,29.0,4.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,36,4.47034673387627
194,22.0,4.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,12.292622739214528
195,30.0,4.8,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,42,10.906036622047266
196,25.0,4.2,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,43,16.82215560929809
197,24.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,16,7.8025424926792954
198,21.0,4.7,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,10,7.5625014977038765
199,29.0,4.7,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,19,9.054052949855325
200,38.0,4.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,9.348325936441572
201,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,10.565262855059668
202,27.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,40,10.905989056071514
203,21.0,4.6,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,28,10.88090530488491
204,27.0,4.7,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,29,6.14674662991254
205,20.0,4.8,Windy,Medium,2,Drinks,motorcycle,1.0,No,,20,12.16201226045294
206,20.0,4.9,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,22,6.0371931754454975
207,20.0,3.5,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,40,16.82747277312784
208,22.0,4.7,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,1.5725337265584898
209,26.0,4.9,Sunny,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,16,16.787849624214644
210,32.0,4.8,Windy,Jam,1,Meal,motorcycle,1.0,No,Urban,31,4.658255523836756
211,26.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,16.78781488206357
212,20.0,4.9,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,18,4.469157678704573
213,36.0,4.2,Windy,Medium,2,Snack,scooter,0.0,No,Metropolitian,34,14.152800689506924
214,35.0,4.9,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,35,12.293541924695205
215,21.0,4.8,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,24,17.098804215224046
216,32.0,4.3,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,31,13.612154686751882
217,20.0,4.8,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,12.073616371156678
218,21.0,4.6,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,19.976644021154996
219,28.0,4.8,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,24,19.975808791440553
220,21.0,4.8,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Urban,25,6.232179267915433
221,24.0,4.8,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,16,17.138022477095543
222,,,Cloudy,Medium,1,Meal,scooter,0.0,No,Urban,13,7.862668167467362
223,29.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Urban,38,19.91724841573161
224,,,Fog,Medium,1,Snack,motorcycle,1.0,No,,19,6.058853851619802
225,,,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,53,6.116387229214868
226,30.0,4.0,Stormy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,49,20.85186290815628
227,30.0,4.7,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,25,5019.120578943771
228,27.0,4.8,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,17,20.851578809538687
229,,,,,2,Meal,electric_scooter,1.0,No,Metropolitian,26,5205.036105236815
230,39.0,4.8,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,29,7.683355299985663
231,21.0,5.0,Cloudy,Medium,1,Meal,scooter,1.0,No,Urban,18,4.560783588900337
232,33.0,5.0,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,22,9.326616887432396
233,31.0,4.7,Fog,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,16,6.232303380257063
234,21.0,4.9,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,10.641925519238605
235,,,,,3,Snack,scooter,0.0,No,Metropolitian,54,17743.491297713586
236,38.0,4.7,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,24,6.14716055847898
237,28.0,4.8,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,16,13.829770499629607
238,21.0,4.9,Cloudy,Jam,1,Drinks,scooter,0.0,No,Urban,20,7.790424984923866
239,35.0,4.6,Sandstorms,High,2,Snack,motorcycle,1.0,No,Metropolitian,29,2.930314664126688
240,33.0,4.8,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,30,4.656983637835054
241,38.0,4.6,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,26,1.536802063728724
242,38.0,4.7,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,27,3.0260961986578945
243,36.0,4.8,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20.20525323529578
244,35.0,5.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,48,14.02225308105434
245,29.0,4.8,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,21,7.659703978759407
246,37.0,4.8,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Urban,46,20.28688210988204
247,30.0,4.9,Sandstorms,High,0,Drinks,motorcycle,0.0,No,Metropolitian,47,1.5322015916679785
248,20.0,4.7,Fog,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,36,16.385802266844152
249,35.0,4.1,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,31,1.5147927329377604
250,25.0,5.0,Cloudy,Low,1,Snack,motorcycle,0.0,No,Urban,12,1.5580838613499712
251,35.0,4.4,Sandstorms,Jam,1,Buffet,scooter,1.0,No,,32,12.41839474187955
252,31.0,4.4,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,11.983431370152688
253,31.0,4.1,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,33,1.489828584432859
254,28.0,4.9,Sunny,Jam,1,Meal,scooter,0.0,No,Metropolitian,18,9.363987776255495
255,20.0,4.8,Stormy,High,1,Meal,scooter,1.0,No,Metropolitian,22,1.5147861372373659
256,24.0,4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,5674.218451041705
257,23.0,4.0,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,39,12.162115936475907
258,21.0,4.8,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,24,16.819856608078997
259,30.0,4.9,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,3.108970009200805
260,30.0,3.9,Sandstorms,Jam,1,Snack,motorcycle,1.0,Yes,Metropolitian,41,17.297865752893937
261,39.0,4.2,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,33,6.081440796957423
262,37.0,4.6,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,20,13.77076958382834
